source,destination,permanent,reason
/duct-work-lehi-ut,/ductwork.html,true,legacy-live-route
/duct-work-lehi-ut/,/ductwork.html,true,legacy-live-route
/ducting,/ducting.html,true,clean-option-route
/ducting-lehi-ut,/ductwork.html,true,legacy-live-route
/ducting-lehi-ut/,/ductwork.html,true,legacy-live-route
/ducting/,/ducting.html,true,clean-option-route
/ductless,/ductless.html,true,clean-option-route
/ductless-ac-installation-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-ac-installation-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-ac-repair-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-ac-repair-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-ac-replacement-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-ac-replacement-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-ac-service-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-ac-service-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-air-conditioner-inspection-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-air-conditioner-inspection-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-air-conditioning-maintenance-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-air-conditioning-maintenance-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-air-conditioning-tune-up-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-air-conditioning-tune-up-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-heater-inspection-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-heater-inspection-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-heater-maintenance-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-heater-maintenance-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-heater-tune-up-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-heater-tune-up-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-heating-installation-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-heating-installation-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-heating-repair-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-heating-repair-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-heating-replacement-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-heating-replacement-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-heating-service-lehi-ut,/ductless.html,true,legacy-live-route
/ductless-heating-service-lehi-ut/,/ductless.html,true,legacy-live-route
/ductless-services-lehi-ut,/ventilation.html,true,legacy-live-route
/ductless-services-lehi-ut/,/ventilation.html,true,legacy-live-route
/ductless/,/ductless.html,true,clean-option-route
/ductwork,/ductwork.html,true,clean-option-route
/ductwork-installation-lehi-ut,/ductwork.html,true,legacy-live-route
/ductwork-installation-lehi-ut/,/ductwork.html,true,legacy-live-route
/ductwork-repair-lehi-ut,/ductwork.html,true,legacy-live-route
/ductwork-repair-lehi-ut/,/ductwork.html,true,legacy-live-route
/ductwork-replacement-lehi-ut,/ductwork.html,true,legacy-live-route
/ductwork-replacement-lehi-ut/,/ductwork.html,true,legacy-live-route
/ductwork/,/ductwork.html,true,clean-option-route
/eagle-mountain-ut-air-conditioning-heating-services,/service-area-eagle-mountain.html,true,legacy-live-route
/eagle-mountain-ut-air-conditioning-heating-services/,/service-area-eagle-mountain.html,true,legacy-live-route
/early-warning-signs-of-ac-failure,/ac-repair.html,true,legacy-live-route
/early-warning-signs-of-ac-failure/,/ac-repair.html,true,legacy-live-route
/effective-duct-work-solutions,/ductwork.html,true,legacy-live-route
/effective-duct-work-solutions/,/ductwork.html,true,legacy-live-route
/effective-ventilation-strategies,/ventilation.html,true,legacy-live-route
/effective-ventilation-strategies/,/ventilation.html,true,legacy-live-route
/efficient-commercial-hvac-installation,/commercial.html,true,legacy-live-route
/efficient-commercial-hvac-installation/,/commercial.html,true,legacy-live-route
/efficient-furnace-replacement-solution,/heating-replacement.html,true,legacy-live-route
/efficient-furnace-replacement-solution/,/heating-replacement.html,true,legacy-live-route
/electric,/other-products.html,true,legacy-live-route
/electric-furnace-inspection-lehi-ut,/heating-services.html,true,legacy-live-route
/electric-furnace-inspection-lehi-ut/,/heating-services.html,true,legacy-live-route
/electric-furnace-installation-lehi-ut,/heating-installation.html,true,legacy-live-route
/electric-furnace-installation-lehi-ut/,/heating-installation.html,true,legacy-live-route
/electric-furnace-lehi-ut,/heating-services.html,true,legacy-live-route
/electric-furnace-lehi-ut/,/heating-services.html,true,legacy-live-route
/electric-furnace-maintenance-lehi-ut,/heating-maintenance.html,true,legacy-live-route
/electric-furnace-maintenance-lehi-ut/,/heating-maintenance.html,true,legacy-live-route
/electric-furnace-repair-lehi-ut,/furnace-repair.html,true,legacy-live-route
/electric-furnace-repair-lehi-ut/,/furnace-repair.html,true,legacy-live-route
/electric-furnace-replacement-lehi-ut,/heating-replacement.html,true,legacy-live-route
/electric-furnace-replacement-lehi-ut/,/heating-replacement.html,true,legacy-live-route
/electric-furnace-service-lehi-ut,/ventilation.html,true,legacy-live-route
/electric-furnace-service-lehi-ut/,/ventilation.html,true,legacy-live-route
/electric-furnace-tune-up-lehi-ut,/heating-tune-up.html,true,legacy-live-route
/electric-furnace-tune-up-lehi-ut/,/heating-tune-up.html,true,legacy-live-route
/electric/,/other-products.html,true,legacy-live-route
/eliminating-musty-ac-odors,/ac-repair.html,true,legacy-live-route
/eliminating-musty-ac-odors/,/ac-repair.html,true,legacy-live-route
/emergency,/emergency.html,true,clean-option-route
/emergency-air-conditioner-repair-lehi-ut,/ac-repair.html,true,legacy-live-route
/emergency-air-conditioner-repair-lehi-ut/,/ac-repair.html,true,legacy-live-route
/emergency-furnace-repair-lehi-ut,/furnace-repair.html,true,legacy-live-route
/emergency-furnace-repair-lehi-ut/,/furnace-repair.html,true,legacy-live-route
/emergency-heat-pump-repair-lehi-ut,/heat-pump.html,true,legacy-live-route
/emergency-heat-pump-repair-lehi-ut/,/heat-pump.html,true,legacy-live-route
/emergency-heater-repair-lehi-ut,/furnace-repair.html,true,legacy-live-route
/emergency-heater-repair-lehi-ut/,/furnace-repair.html,true,legacy-live-route
/emergency/,/emergency.html,true,clean-option-route
/energy-audit-lehi-ut,/energy-efficiency.html,true,legacy-live-route
/energy-audit-lehi-ut/,/energy-efficiency.html,true,legacy-live-route
/energy-efficiency,/energy-efficiency.html,true,clean-option-route
/energy-efficiency-lehi-ut,/energy-efficiency.html,true,legacy-live-route
/energy-efficiency-lehi-ut/,/energy-efficiency.html,true,legacy-live-route
/energy-efficiency/,/energy-efficiency.html,true,clean-option-route
/energy-efficient-air-conditioners-lehi-ut,/energy-efficiency.html,true,legacy-live-route
/energy-efficient-air-conditioners-lehi-ut/,/energy-efficiency.html,true,legacy-live-route
/energy-efficient-heater-lehi-ut,/energy-efficiency.html,true,legacy-live-route
/energy-efficient-heater-lehi-ut/,/energy-efficiency.html,true,legacy-live-route
/energy-efficient-hvac-systems-lehi-ut,/energy-efficiency.html,true,legacy-live-route
/energy-efficient-hvac-systems-lehi-ut/,/energy-efficiency.html,true,legacy-live-route
/evaporative-humidifiers-lehi-ut,/humidification.html,true,legacy-live-route
/evaporative-humidifiers-lehi-ut/,/humidification.html,true,legacy-live-route
/expert-commercial-heating-repair,/commercial.html,true,legacy-live-route
/expert-commercial-heating-repair/,/commercial.html,true,legacy-live-route
/expert-tips-for-your-heating-system-installation-success,/heating-installation.html,true,legacy-live-route
/expert-tips-for-your-heating-system-installation-success/,/heating-installation.html,true,legacy-live-route
/exploring-the-advantages-of-ductless-mini-split,/ductless.html,true,legacy-live-route
/exploring-the-advantages-of-ductless-mini-split/,/ductless.html,true,legacy-live-route
/fall-furnace-maintenance,/fall-furnace-maintenance.html,true,clean-option-route
/fall-furnace-maintenance/,/fall-furnace-maintenance.html,true,clean-option-route
/faq,/faq.html,true,clean-option-route
/faq/,/faq.html,true,clean-option-route
/faqs,/faq.html,true,legacy-live-route
